id_artifact,date,quantity,price,username
49,31.14.2024,3,370,Maryse.Tremblay76
31,2024-14-14,3,626,Hardy_Marquardt23
6,2024-14-28,1,337,Herminio_Marquardt90
88,2024-14-06,1,685,Sim11
16,2024-14-30,1,855,Andrew94
96,17.14.2023,1,420,Kaylee.Mitchell
73,10.14.2023,3,851,Rosalind_Kertzmann
44,16.14.2024,4,739,Maude86
89,24.14.2024,4,392,Barrett_Marvin70
15,31.14.2023,4,961,Alysa28
17,13.14.2024,2,631,Estel_Rutherford
77,01.14.2024,3,732,Maude86
39,2023-14-14,2,590,Thelma95
94,16.14.2023,2,839,Blaze61
35,2023-14-21,3,742,Kamron_Mraz
96,2024-14-13,3,573,Domenico_Krajcik
4,04.14.2024,1,312,Mabel87
23,2024-14-17,3,434,Herbert.Gerlach34
35,2024-14-30,1,713,Kristian_Greenfelder
90,2023-14-30,1,995,Marcel85
16,2024-14-04,4,752,Marcel85
9,05.14.2023,4,570,Laila_Kutch86
28,2025-14-03,2,444,Donna31
4,23.14.2023,2,734,Andreane_Stamm21
63,06.14.2024,3,634,Magdalen.Ritchie
81,05.14.2024,3,807,Sim11
30,24.14.2024,2,957,Marianne_Carter
25,2024-14-04,1,502,Karina77
96,2024-14-15,2,605,Ida.Blick
81,02.14.2024,1,823,Laura52
11,2024-14-23,3,637,Hardy_Marquardt23
57,18.14.2023,1,980,Marcel85
67,2024-14-18,1,614,Barrett_Marvin70
12,2024-14-19,2,775,Eleazar4
9,2024-14-03,4,810,Mabel87
91,2025-14-31,2,310,Lane93
60,03.14.2024,4,914,Leopoldo71
9,2024-14-14,1,346,Rebeka_Kihn69
44,2023-14-29,2,975,Leopoldo71
4,17.14.2024,4,579,Selena64
79,25.14.2024,4,793,Odell62
63,12.14.2024,4,983,Leopoldo71
9,2024-14-23,3,424,Alycia39
8,13.14.2023,4,432,Zella.Crona
72,2025-14-10,4,646,Magdalen.Ritchie
83,08.14.2024,2,793,Hardy_Marquardt23
14,2024-14-18,2,758,Dorian_Stiedemann55
56,2024-14-18,4,328,Kaya86
62,2023-14-26,3,462,Ubaldo_Bahringer
15,04.14.2024,3,970,Mabel87
4,2024-14-30,3,413,Antonina_Borer
92,30.14.2024,3,654,Lane93
14,30.14.2024,1,317,Clinton41
39,14.14.2024,3,526,Jackie47
100,29.14.2024,1,904,Rosemary.Herzog90
92,28.14.2024,3,746,Clinton41
49,2024-14-18,1,550,Odell62
77,08.14.2024,4,954,Alford98
11,2024-14-25,3,329,Forest67
45,14.14.2024,3,387,Laura52
37,23.14.2024,3,334,Barrett_Marvin70
13,21.14.2024,4,826,Estel_Rutherford
47,18.14.2024,1,397,Laila_Kutch86
23,09.14.2024,3,532,Erwin_Wisoky
75,30.14.2024,1,923,Winston.Rempel15
27,2024-14-24,1,429,Karina77
76,17.14.2024,1,427,Alycia39
73,04.14.2024,1,698,Andrew94
26,2024-14-03,2,494,Taurean_Powlowski67
91,12.14.2024,2,500,Ona13
66,06.14.2024,1,761,Estel_Rutherford
50,12.14.2024,2,489,Marcia.Tillman3
22,19.14.2024,2,930,Violette54
50,2024-14-01,3,444,Alford98
41,2024-14-23,3,947,Dorian_Stiedemann55
93,2024-14-10,3,678,Mabel87
79,10.14.2024,1,313,Miguel.Terry74
28,2024-14-10,4,491,Modesto.Rice
59,12.14.2024,3,676,Zoila.Zemlak42
12,07.14.2024,3,742,Alysa28
8,11.14.2024,4,551,Henri89
81,2023-14-04,1,833,Einar89
64,2023-14-12,1,784,Domenico_Krajcik
15,18.14.2024,1,995,Jovany44
52,2025-14-29,1,309,Jarrett.Abernathy
87,2024-14-05,3,750,Emmett.Connelly
39,10.14.2024,1,508,Zoila.Zemlak42
37,31.14.2024,2,885,Emmett.Connelly
50,2024-14-16,4,602,Maude86
11,31.14.2024,4,807,Herbert.Gerlach34
36,09.14.2024,3,497,Claudine.Sawayn
45,2023-14-07,2,968,Gussie.McGlynn
56,2024-14-26,1,385,Keara_Batz43
58,2023-14-14,1,335,Ubaldo_Bahringer
26,01.14.2023,3,493,Claudine.Sawayn
2,09.14.2024,1,813,Gail.Mueller
3,2024-14-09,1,464,Clinton41
65,2024-14-30,2,389,Oral_Leannon31
44,20.14.2024,2,416,Andreane_Stamm21
7,2023-14-22,4,335,Benjamin_Kirlin23
100,2024-14-09,4,435,Clinton41
9,2024-14-03,2,747,Zechariah42
81,2023-14-02,3,560,Louvenia.Lesch80
26,2024-14-06,3,880,Lane93
73,2024-14-21,3,531,Hardy_Marquardt23
58,08.14.2025,3,701,Claudine.Sawayn
36,07.14.2024,2,761,Donna31
76,2023-14-30,2,885,Antonina_Borer
58,2024-14-10,2,599,Andrew94
12,2024-14-22,2,872,Antonina_Borer
45,2023-14-27,4,464,Keara_Batz43
95,14.14.2023,1,300,Forest67
62,01.14.2024,2,490,Elias.Pouros
99,2024-14-11,1,428,Zechariah42
6,28.14.2024,2,667,Claudine.Sawayn
74,2024-14-12,1,736,Leopoldo71
87,09.14.2025,4,325,Gail.Mueller
69,18.14.2024,4,642,Antonina_Borer
25,19.14.2025,3,810,Alphonso_Harris
16,2024-14-20,2,538,Hardy_Marquardt23
56,21.14.2025,2,864,Rosalind_Kertzmann
84,2024-14-27,3,693,Ubaldo_Bahringer
95,2024-14-20,4,865,Oral_Leannon31
51,2024-14-27,4,330,Marcel85
47,09.14.2024,3,711,Vern4
47,26.14.2024,1,901,Kurt2
72,25.14.2025,1,596,Timmothy.McDermott
15,2024-14-22,2,845,Mitchell_Yost85
82,24.14.2023,4,869,Sim0
5,03.14.2024,2,463,Zoila.Zemlak42
79,22.14.2024,4,457,Benjamin_Kirlin23
89,2024-14-16,4,794,Louvenia.Lesch80
39,02.14.2024,2,446,Alycia39
40,2024-14-02,2,621,Guillermo59
83,2024-14-30,3,844,Winston.Rempel15
92,09.14.2024,2,497,Marcel85
43,2024-14-11,1,718,Erwin_Wisoky
68,26.14.2024,3,566,Elias.Pouros
15,01.14.2024,2,378,Zella.Crona
94,25.14.2024,4,832,Alana65
9,2024-14-13,1,647,Marianne_Carter
90,29.14.2024,2,983,Barrett_Marvin70
56,29.14.2024,3,595,Alana65
68,2023-14-08,1,934,Rasheed59
83,12.14.2024,1,788,Lyda35
8,2024-14-04,4,827,Maude86
81,01.14.2025,1,779,Eleazar4
14,2023-14-04,1,945,Sim11
44,25.14.2024,1,795,Zoila.Zemlak42
21,27.14.2024,2,925,Barrett_Marvin70
41,27.14.2023,3,565,Elaina_Heaney
95,28.14.2024,3,384,Alphonso_Harris
63,2023-14-07,3,991,June31
71,2024-14-16,1,312,Taurean_Powlowski67
36,26.14.2024,2,574,Mabel87
84,25.14.2024,4,466,Zoila.Zemlak42
53,08.14.2024,3,359,Vern4
92,2024-14-24,1,954,Karina77
19,2024-14-29,3,617,Justyn.Ullrich
86,2024-14-28,2,418,Dorian_Stiedemann55
40,2024-14-06,2,489,Sim11
54,24.14.2024,3,967,Odie20
55,24.14.2024,3,777,Magdalen.Ritchie
54,2024-14-04,3,796,Shanon42
33,2024-14-05,2,693,Maryse.Tremblay76
63,28.14.2025,1,477,Merlin_Barton93
51,2024-14-09,3,966,Clinton41
81,08.14.2024,2,927,Lyda35
62,09.14.2024,1,518,Leopoldo71
81,2023-14-21,4,471,Maryse.Tremblay76
83,24.14.2024,3,828,Dorian_Stiedemann55
46,18.14.2024,3,530,Herbert.Gerlach34
33,2024-14-30,4,554,Karina77
15,2024-14-09,1,869,Zella.Crona
69,2024-14-11,2,996,Domenico_Krajcik
7,2025-14-01,1,784,Marianne_Carter
62,2023-14-22,1,937,Alva_Daniel21
47,18.14.2023,3,321,Jovany44
67,2025-14-12,3,464,Andrew94
40,2024-14-02,1,491,Salvatore33
53,04.14.2024,2,376,Zechariah42
73,27.14.2023,1,432,Harold14
39,04.14.2023,3,442,Antonina_Borer
76,10.14.2024,1,639,Emmett.Connelly
7,2024-14-14,4,562,Kaylee.Mitchell
73,03.14.2024,2,373,Clovis.Breitenberg88
28,2024-14-13,4,931,Clovis.Breitenberg88
42,19.14.2023,3,358,Marcia.Tillman3
32,2024-14-18,2,321,Devonte_Runolfsdottir
32,13.14.2023,2,403,Jovany44
25,2024-14-17,4,660,Harold14
93,2024-14-20,3,842,Mabel87
16,26.14.2024,3,768,Derick33
26,2024-14-10,1,412,Oran.Prosacco90
54,18.14.2024,4,742,Mitchell_Yost85
25,2023-14-13,2,618,Estel_Rutherford
16,22.14.2024,2,473,Henri89
69,2024-14-29,1,407,Emmett.Connelly
16,2023-14-13,4,775,Benjamin_Kirlin23
20,28.14.2024,4,303,Barrett_Marvin70
38,16.14.2024,3,772,Zoila.Zemlak42
67,07.14.2024,1,731,Erwin_Wisoky
12,13.14.2023,1,592,Kamron_Mraz
72,23.14.2024,4,770,Antonina_Borer
4,2023-14-15,1,708,Ida.Blick
1,2024-14-27,2,744,Elias.Pouros
73,09.14.2024,1,551,Winston.Rempel15
92,2024-14-20,3,643,Eleazar4
66,06.14.2024,4,899,Miguel.Terry74
77,2025-14-05,4,920,Guillermo59
13,05.14.2024,2,815,Dorian_Stiedemann55
98,2024-14-02,2,312,Salvatore33
3,2024-14-24,2,431,Derick33
44,20.14.2023,2,424,Lane93
33,2024-14-28,1,723,Hardy_Marquardt23
76,18.14.2023,3,431,Domenico_Krajcik
95,2024-14-14,1,452,Miguel.Terry74
26,03.14.2023,2,374,Modesto.Rice
1,2023-14-27,4,454,Dorian_Stiedemann55
65,19.14.2024,1,698,Hardy_Marquardt23
91,2024-14-26,4,856,Henri89
29,2024-14-23,4,596,Alycia39
45,20.14.2024,3,428,Mitchell_Yost85
50,22.14.2024,1,500,Leopoldo71
86,2023-14-24,4,354,Herbert.Gerlach34
95,12.14.2024,1,809,Einar89
87,2024-14-01,1,809,Florence.Parisian78
77,01.14.2024,1,981,Keara_Batz43
26,10.14.2024,3,791,Derick33
90,22.14.2023,2,753,Marcel85
39,2023-14-21,3,711,Donna31
85,10.14.2024,4,476,Ona13
43,2024-14-06,3,740,Derick33
76,26.14.2024,2,685,Clovis.Breitenberg88
76,01.14.2024,2,402,Alysa28
77,14.14.2024,1,323,Miguel.Terry74
11,2025-14-15,3,738,Kaylee.Mitchell
39,2023-14-24,3,680,Ricky.Welch
79,16.14.2024,3,343,Gussie.McGlynn
50,31.14.2024,2,571,Salvatore33
24,2025-14-11,4,692,Modesto.Rice
32,12.14.2023,3,543,Erwin_Wisoky
17,2024-14-19,1,478,Taurean_Powlowski67
95,08.14.2024,4,891,Elaina_Heaney
76,2023-14-04,3,793,Gail.Mueller
95,09.14.2023,1,501,Einar89
98,09.14.2024,4,804,Ricky.Welch
60,2024-14-21,2,955,Alphonso_Harris
76,2024-14-27,2,661,Harold14
70,29.14.2024,1,625,Marcia.Tillman3
75,2024-14-10,1,375,Woodrow.Ankunding
8,2024-14-19,2,674,Thelma95
30,30.14.2023,2,495,Chandler69
60,2023-14-04,3,872,Eleazar4
7,30.14.2024,1,739,Marcel85
4,2024-14-04,2,851,Alford98
70,2024-14-27,2,579,Hardy_Marquardt23
50,2024-14-17,2,998,Benjamin_Kirlin23
68,15.14.2024,4,754,Clovis.Breitenberg88
64,2024-14-31,2,882,Hildegard_Tremblay
2,2024-14-08,4,780,Jackie47
98,04.14.2023,2,383,Estel_Rutherford
75,2024-14-24,4,332,Kristian_Greenfelder
64,25.14.2025,2,843,Einar89
3,27.14.2023,1,968,Odie20
92,26.14.2024,2,982,Justyn.Ullrich
17,17.14.2024,4,434,Clovis.Breitenberg88
87,2024-14-26,3,307,Justyn.Ullrich
75,2024-14-02,4,939,Dorian_Stiedemann55
21,27.14.2024,4,873,Justyn.Ullrich
60,14.14.2023,3,898,Kaya86
42,2024-14-13,2,412,Jovany44
90,2024-14-12,3,636,Karina77
19,11.14.2024,4,367,Timmothy.McDermott
37,17.14.2024,1,878,Alva_Daniel21
36,30.14.2024,4,454,Andreane_Stamm21
93,2024-14-17,3,895,Rosemary.Herzog90
89,2024-14-15,3,649,Thelma95
30,29.14.2024,1,744,Shanon42
26,14.14.2024,3,306,Louvenia.Lesch80
25,2025-14-08,3,846,Gail.Mueller
33,19.14.2024,1,443,Zechariah42
65,2024-14-18,3,572,Alva_Daniel21
49,18.14.2024,1,563,Clovis.Breitenberg88
80,2025-14-24,4,610,Ricky.Welch
81,2024-14-10,2,376,Timmothy.McDermott
66,28.14.2024,3,520,Sim0
43,06.14.2023,1,412,Devonte_Runolfsdottir
2,2023-14-11,1,506,Antonina_Borer
91,12.14.2024,4,672,Kurt2
19,27.14.2023,3,355,Oral_Leannon31
71,2023-14-19,4,869,Oral_Leannon31
28,2024-14-28,1,523,Eleazar4
33,2024-14-07,4,850,Vern4
86,2024-14-30,3,579,Brandt_Gutmann51
30,03.14.2024,2,903,Hardy_Marquardt23
52,2024-14-27,3,982,Sim0
29,22.14.2024,1,447,Domenico_Krajcik
49,2023-14-09,3,715,Barrett_Marvin70
82,2024-14-02,3,588,Jovany44
11,07.14.2024,2,405,Zoila.Zemlak42
44,2024-14-26,2,950,Clinton41
11,2024-14-11,3,527,Kamron_Mraz
20,2024-14-02,4,938,Henri89
30,29.14.2024,3,414,Justyn.Ullrich
58,11.14.2024,2,675,Marianne_Carter
32,18.14.2024,2,338,Herbert.Gerlach34
3,14.14.2024,4,524,Marcia.Tillman3
16,2023-14-05,1,384,Vern4
94,2024-14-14,2,464,Domenico_Krajcik
80,2024-14-29,3,769,Oral_Leannon31
64,2024-14-09,2,317,Kamron_Mraz
67,2023-14-21,2,505,Rosalind_Kertzmann
23,2024-14-18,3,844,Desmond.Tillman
15,2024-14-21,4,853,Herminio_Marquardt90
13,2024-14-15,3,950,Maryse.Tremblay76
21,28.14.2023,3,582,Herminio_Marquardt90
12,2024-14-14,1,603,Fatima37
75,2024-14-03,4,901,Clinton41
58,2023-14-12,3,474,Oral_Leannon31
46,2023-14-22,3,702,Benjamin_Kirlin23
92,07.14.2024,3,873,Florence.Parisian78
42,2023-14-17,1,778,Rebeka_Kihn69
29,17.14.2024,1,714,Odie20
8,13.14.2024,4,685,Woodrow.Ankunding
83,2023-14-23,4,331,Domenico_Krajcik
99,2024-14-08,4,977,Elias.Pouros
43,28.14.2024,3,602,Timmothy.McDermott
71,2024-14-14,2,914,Rebeka_Kihn69
64,2024-14-13,3,756,Shanon42
77,29.14.2024,4,469,Erwin_Wisoky
18,2024-14-20,3,887,Barrett_Marvin70
33,2023-14-07,3,635,Estel_Rutherford
54,11.14.2025,1,452,Ubaldo_Bahringer
56,23.14.2023,3,970,Marianne_Carter
93,16.14.2024,2,469,Laura52
90,2024-14-20,2,946,Fatima37
49,2024-14-24,2,866,Sim0
90,08.14.2024,3,942,Salvatore33
11,22.14.2024,1,979,Fatima37
100,11.14.2024,3,805,Eleazar4
62,28.14.2024,4,380,Odie20
60,2024-14-24,1,446,Blaze61
11,01.14.2023,4,343,Gail.Mueller
31,07.14.2023,2,754,Gail.Mueller
85,2024-14-18,1,742,Oran.Prosacco90
44,2024-14-27,1,773,Lyda35
49,2024-14-15,2,856,Kristian_Greenfelder
88,2024-14-14,4,518,Herminio_Marquardt90
70,30.14.2024,1,985,Rosalind_Kertzmann
14,19.14.2025,1,648,Brandt_Gutmann51
50,11.14.2024,3,501,Taurean_Powlowski67
